# Импортировано 2026-07-30. Результаты ДО запуска публичного архива (2026-07-30); в реальном времени публично не проверялись.
n,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
1,2026-04-10 12:02 UTC,8765407551,драфт (до игры),,Nigma Galaxy vs Team Liquid,Победитель,Team Liquid,1.78,1000,проигрыш,-1000
2,2026-04-10 12:08 UTC,8765407551,10-я минута,,Nigma Galaxy vs Team Liquid,Победитель,Nigma Galaxy,1.85,1000,выигрыш,850
3,2026-04-10 15:15 UTC,8765688078,драфт (до игры),,L1GA TEAM vs GamerLegion,Победитель,L1GA TEAM,2.25,1000,проигрыш,-1000
4,2026-04-10 17:14 UTC,8765867665,драфт (до игры),,PARIVISION vs MOUZ,Длительность матча,Больше 36 мин,1.68,1000,выигрыш,680
5,2026-04-10 18:43 UTC,8765976782,10-я минута,,GamerLegion vs Nigma Galaxy,Победитель,Nigma Galaxy,1.48,1000,проигрыш,-1000
6,2026-04-10 19:52 UTC,8766089530,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,2.15,1000,выигрыш,1150
7,2026-04-10 19:52 UTC,8766089530,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель карты / Продолжительность карты,GamerLegion + Больше 44.0,4,1000,проигрыш,-1000
8,2026-04-10 21:14 UTC,8766168681,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,1.98,1000,выигрыш,980
9,2026-04-10 21:14 UTC,8766168681,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель карты / Тотал убийств,GamerLegion + Меньше 47.5,4,1000,проигрыш,-1000
10,2026-04-10 21:25 UTC,8766168681,10-я минута,,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,1.85,1000,выигрыш,850
11,2026-04-11 11:20 UTC,8766874056,драфт (до игры),,Nigma Galaxy vs MOUZ,Победитель,MOUZ,2.05,1000,выигрыш,1050
12,2026-04-11 11:31 UTC,8766874056,10-я минута,,Nigma Galaxy vs MOUZ,Тотал убийств,Больше 42,2,1000,выигрыш,1000
13,2026-04-11 13:18 UTC,8767039368,драфт (до игры),,PARIVISION vs Nigma Galaxy,Длительность матча,Больше 36 мин,1.62,1000,проигрыш,-1000
14,2026-04-11 14:26 UTC,8767163289,драфт (до игры),,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.35,1000,выигрыш,1350
15,2026-04-11 14:43 UTC,8767163289,15-я минута,,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.1,1000,выигрыш,1100
16,2026-04-11 15:14 UTC,8767241386,драфт (до игры),,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.3,1000,проигрыш,-1000
17,2026-04-12 04:16 UTC,8768060465,драфт (до игры),,Yangon Galacticos vs Ivory,Победитель,Yangon Galacticos,2.05,1000,выигрыш,1050
18,2026-04-12 04:16 UTC,8768060465,драфт (до игры),,Yangon Galacticos vs Ivory,Победитель карты / Продолжительность карты,Yangon Galacticos + Больше 41.0,4.4,1000,проигрыш,-1000
19,2026-04-12 05:35 UTC,8768125436,драфт (до игры),,Ivory vs Yangon Galactico,Победитель,Yangon Galacticos,2.25,1000,проигрыш,-1000
20,2026-04-12 05:35 UTC,8768125436,драфт (до игры),,Ivory vs Yangon Galactico,Победитель карты / Продолжительность карты,Yangon Galacticos + Больше 41.0,4.4,1000,проигрыш,-1000
21,2026-04-12 09:13 UTC,8768337245,драфт (до игры),,L1GA TEAM vs Rune Eater,Длительность матча,Больше 36 мин,1.62,1000,выигрыш,620
22,2026-04-12 09:26 UTC,8768337245,10-я минута,,L1GA TEAM vs Rune Eater,Тотал убийств,Больше 42,1.85,1000,выигрыш,850
23,2026-04-12 11:56 UTC,8768509968,10-я минута,,L1GA TEAM vs Rune Eater,Победитель,L1GA TEAM,1.42,3000,выигрыш,1260
24,2026-04-12 12:13 UTC,8768544040,драфт (до игры),,OG vs Ivory,Длительность матча,Больше 37 мин,2.4,3000,выигрыш,4200
25,2026-04-12 12:17 UTC,8768564420,драфт (до игры),,Team Nemesis vs Carstensz Esport,Длительность матча,Больше 38 мин,2.1,3000,выигрыш,3300
26,2026-04-12 12:17 UTC,8768564420,драфт (до игры),,Team Nemesis vs Carstensz Esport,Комбо-ставка,Team Nemesis + Больше 51.5,3.1,600,выигрыш,1260
27,2026-04-12 12:20 UTC,8768544040,5-я минута,,OG vs Ivory,Победитель,OG,1.88,3000,проигрыш,-3000
28,2026-04-12 12:26 UTC,8768544040,10-я минута,,OG vs Ivory,Тотал убийств,Больше 40,2,3000,выигрыш,3000
29,2026-04-12 12:33 UTC,8768564420,10-я минута,,Team Nemesis vs Carstensz Esport,Тотал убийств,Больше 42,2.1,3000,выигрыш,3300
30,2026-04-12 13:45 UTC,8768693713,10-я минута,,Team Nemesis vs Carstensz Esport,Тотал убийств,Больше 37,2.1,3000,выигрыш,3300
31,2026-04-12 14:29 UTC,8768769661,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 38,1.92,3000,выигрыш,2760
32,2026-04-12 14:31 UTC,8768767328,10-я минута,,Zero Tenacity vs Virtus.pro,Тотал убийств,Больше 40,2.15,3000,выигрыш,3450
33,2026-04-12 15:22 UTC,8768888971,драфт (до игры),,Team Lynx vs MOUZ,Комбо-ставка,MOUZ + Меньше 42.0,2.3,600,выигрыш,780
34,2026-04-12 15:29 UTC,8768888971,5-я минута,,Team Lynx vs MOUZ,Победитель,MOUZ,1.82,3000,выигрыш,2460
35,2026-04-12 15:35 UTC,8768888971,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 42,2,3000,выигрыш,3000
36,2026-04-12 15:35 UTC,8768894035,5-я минута,,Zero Tenacity vs Virtus.pro,Победитель,Zero Tenacity,2.4,3000,проигрыш,-3000
37,2026-04-12 15:40 UTC,8768894035,10-я минута,,Zero Tenacity vs Virtus.pro,Тотал убийств,Больше 39,1.95,3000,выигрыш,2850
38,2026-04-12 16:36 UTC,8768995011,драфт (до игры),,Team Lynx vs MOUZ,Комбо-ставка,MOUZ + Меньше 42.0,2.5,600,проигрыш,-600
39,2026-04-12 16:43 UTC,8768995011,5-я минута,,Team Lynx vs MOUZ,Победитель,MOUZ,1.72,3000,выигрыш,2160
40,2026-04-12 16:48 UTC,8768995011,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 41,1.78,3000,выигрыш,2340
41,2026-04-12 17:26 UTC,8769027413,10-я минута,,Nemiga Gaming vs 1w Team,Тотал убийств,Больше 42,1.88,3000,проигрыш,-3000
42,2026-04-12 18:29 UTC,8769132568,10-я минута,,Team Liquid vs Natus Vincere,Победитель,Team Liquid,2,3000,проигрыш,-3000
43,2026-04-12 18:29 UTC,8769132568,10-я минута,,Team Liquid vs Natus Vincere,Тотал убийств,Больше 40,1.65,3000,выигрыш,1950
44,2026-04-12 19:39 UTC,8769210783,10-я минута,,Nemiga Gaming vs 1w Team,Тотал убийств,Больше 43,2,3000,выигрыш,3000
45,2026-04-12 19:49 UTC,8769245008,5-я минута,,Natus Vincere vs Team Liquid,Победитель,Team Liquid,1.65,3000,выигрыш,1950
46,2026-04-12 19:54 UTC,8769245008,10-я минута,,Natus Vincere vs Team Liquid,Победитель,Team Liquid,1.55,3000,выигрыш,1650
47,2026-04-13 08:18 UTC,8769721570,драфт (до игры),,REKONIX vs OG,Комбо-ставка,OG + Меньше 42.0,2.8,600,проигрыш,-600
48,2026-04-13 09:14 UTC,8769763171,драфт (до игры),,BetBoom Team vs Rune Eater,Длительность матча,Больше 39 мин,2.1,3000,выигрыш,3300
49,2026-04-13 09:20 UTC,8769763171,5-я минута,,BetBoom Team vs Rune Eater,Победитель,BetBoom Team,1.88,3000,выигрыш,2640
50,2026-04-13 09:20 UTC,8769763171,5-я минута,,BetBoom Team vs Rune Eater,Тотал убийств,Больше 42.5,1.75,3000,выигрыш,2250
51,2026-04-13 09:25 UTC,8769763171,10-я минута,,BetBoom Team vs Rune Eater,Тотал убийств,Больше 39.5,1.7,3000,выигрыш,2100
52,2026-04-13 09:34 UTC,8769779484,5-я минута,,OG vs REKONIX,Победитель,OG,1.9,3000,проигрыш,-3000
53,2026-04-13 09:39 UTC,8769779484,10-я минута,,OG vs REKONIX,Победитель,OG,1.85,3000,проигрыш,-3000
54,2026-04-13 10:30 UTC,8769828782,драфт (до игры),,Rune Eaters vs BetBoom Team,Комбо-ставка,BetBoom Team + Меньше 42.0,1.95,600,выигрыш,570
55,2026-04-13 10:41 UTC,8769828782,5-я минута,,Rune Eaters vs BetBoom Team,Победитель,BetBoom Team,1.9,3000,выигрыш,2700
56,2026-04-13 12:15 UTC,8769922066,драфт (до игры),,Team Nemesis vs Ivory,Комбо-ставка,Team Nemesis + Меньше 52.5,2.9,600,выигрыш,1140
57,2026-04-13 12:23 UTC,8769922066,5-я минута,,Team Nemesis vs Ivory,Победитель,Team Nemesis,1.58,3000,выигрыш,1740
58,2026-04-13 13:22 UTC,8769999753,5-я минута,,1w Team vs BetBoom Team,Победитель,BetBoom Team,3.2,3000,выигрыш,6600
59,2026-04-13 13:27 UTC,8769999753,10-я минута,,1w Team vs BetBoom Team,Победитель,BetBoom Team,3.2,3000,выигрыш,6600
60,2026-04-13 14:38 UTC,8770130252,5-я минута,,BetBoom Team vs 1w Team,Победитель,BetBoom Team,3.3,3000,выигрыш,6900
61,2026-04-13 14:39 UTC,8770119366,10-я минута,,Yellow Submarine vs Team Spirit Academy,Тотал убийств,Больше 60.5,1.92,3000,проигрыш,-3000
62,2026-04-13 14:43 UTC,8770130252,10-я минута,,BetBoom Team vs 1w Team,Победитель,BetBoom Team,3.6,3000,выигрыш,7800
63,2026-04-13 18:32 UTC,8770456297,драфт (до игры),,MOUZ vs Virtus.pro,Длительность матча,Больше 42 мин,2.35,3000,выигрыш,4050
64,2026-04-13 18:32 UTC,8770456297,драфт (до игры),,MOUZ vs Virtus.pro,Комбо-ставка,MOUZ + Меньше 52.5,3.8,600,проигрыш,-600
65,2026-04-13 20:57 UTC,8770616434,драфт (до игры),,Virtus.pro vs MOUZ,Комбо-ставка,MOUZ + Меньше 49.5,3.1,600,проигрыш,-600
66,2026-04-14 04:23 UTC,8770853808,5-я минута,,Team Nemesis vs REKONIX,Победитель,Team Nemesis,1.75,3000,проигрыш,-3000
67,2026-04-14 08:25 UTC,8770996605,драфт (до игры),,REKONIX vs Ivory,Комбо-ставка,REKONIX + Меньше 49.5,2.4,600,выигрыш,840
68,2026-04-14 10:15 UTC,8771090406,драфт (до игры),,Team Lynx vs Team Liquid,Комбо-ставка,Team Liquid + Меньше 49.5,7,600,выигрыш,3600
69,2026-04-14 10:54 UTC,8771122196,5-я минута,,Ivory vs REKONIX,Победитель,REKONIX,1.7,3000,выигрыш,2100
70,2026-04-14 11:06 UTC,8771139799,драфт (до игры),,Nemiga Gaming vs BetBoom Team,Комбо-ставка,BetBoom Team + Меньше 42.0,2.05,600,выигрыш,630
71,2026-04-14 11:31 UTC,8771159660,драфт (до игры),,Team Liquid vs Team Lynx,Комбо-ставка,Team Liquid + Меньше 42.0,6.3,600,выигрыш,3180
72,2026-04-14 12:03 UTC,8771187999,драфт (до игры),,Nemiga Gaming vs BetBoom Team,Длительность матча,Больше 40 мин,2.35,3000,проигрыш,-3000
73,2026-04-14 13:41 UTC,8771315035,5-я минута,,L1GA TEAM vs BetBoom Team,Победитель,BetBoom Team,1.35,3000,проигрыш,-3000
74,2026-04-14 14:24 UTC,8771377141,5-я минута,,MOUZ vs Team Liquid,Победитель,MOUZ,1.6,3000,выигрыш,1800
75,2026-04-14 14:45 UTC,8771417171,5-я минута,,BetBoom Team vs L1GA TEAM,Победитель,BetBoom Team,1.6,3000,выигрыш,1800
76,2026-04-14 14:51 UTC,8771417171,10-я минута,,BetBoom Team vs L1GA TEAM,Победитель,BetBoom Team,1.32,3000,выигрыш,960
77,2026-04-14 15:48 UTC,8771519532,драфт (до игры),,Team Liquid vs MOUZ,Длительность матча,Больше 40 мин,2.3,3000,проигрыш,-3000
78,2026-04-14 15:48 UTC,8771519532,драфт (до игры),,Team Liquid vs MOUZ,Комбо-ставка,Team Liquid + Больше 39.0,3.8,600,проигрыш,-600
79,2026-04-14 16:00 UTC,8771519532,10-я минута,,Team Liquid vs MOUZ,Победитель,Team Liquid,1.45,3000,выигрыш,1350
80,2026-04-14 16:59 UTC,8771613554,драфт (до игры),,Team Liquid vs MOUZ,Длительность матча,Больше 40 мин,2.3,3000,проигрыш,-3000
81,2026-04-14 18:37 UTC,8771740540,драфт (до игры),,Nemiga Gaming vs Rune Eater,Длительность матча,Больше 39 мин,2.3,3000,выигрыш,3900
82,2026-04-14 20:11 UTC,8771842603,5-я минута,,Rune Eaters vs Nemiga Gaming,Победитель,Rune Eaters,1.6,3000,проигрыш,-3000
83,2026-04-15 09:19 UTC,8772277447,5-я минута,,Team Lynx vs Yellow Submarine,Победитель,Yellow Submarine,1.75,3000,проигрыш,-3000
84,2026-04-15 10:34 UTC,8772345621,5-я минута,,Yellow Submarine vs Team Lynx,Победитель,Yellow Submarine,1.82,3000,проигрыш,-3000
85,2026-04-15 15:14 UTC,8772680011,драфт (до игры),,Nemiga Gaming vs Inner Circle x Insanity,Комбо-ставка,Inner Circle x Insanity + Меньше 42.0,4,600,проигрыш,-600
86,2026-04-16 15:19 UTC,8773886177,драфт (до игры),,Yellow Submarine vs Ilbirs Esport,Длительность матча,Больше 37 мин,2.15,3000,выигрыш,3450
87,2026-04-16 15:19 UTC,8773886177,драфт (до игры),,Yellow Submarine vs Ilbirs Esport,Комбо-ставка,Yellow Submarine + Меньше 50.5,2.8,600,проигрыш,-600
88,2026-04-16 16:26 UTC,8773980184,драфт (до игры),,Ilbirs Esports vs Yellow Submarine,Комбо-ставка,Yellow Submarine + Меньше 50.5,2.9,600,проигрыш,-600
89,2026-04-16 17:53 UTC,8774081139,драфт (до игры),,Yellow Submarine vs Ilbirs Esport,Комбо-ставка,Yellow Submarine + Меньше 42.0,2.4,600,проигрыш,-600
90,2026-04-18 07:14 UTC,8775954888,драфт (до игры),,Xtreme Gaming vs Natus Vincere,Комбо-ставка,Xtreme Gaming + Больше 44.5,3.3,600,выигрыш,1380
91,2026-04-18 07:15 UTC,8775954955,драфт (до игры),,Team Spirit vs Vici Gaming,Комбо-ставка,Team Spirit + Меньше 42.0,3.8,600,проигрыш,-600
92,2026-04-18 07:21 UTC,8775954888,5-я минута,,Xtreme Gaming vs Natus Vincere,Победитель,Xtreme Gaming,1.32,3000,выигрыш,960
93,2026-04-18 07:25 UTC,8775954888,10-я минута,,Xtreme Gaming vs Natus Vincere,Тотал убийств,Больше 44.5,1.9,3000,выигрыш,2700
94,2026-04-18 08:17 UTC,8776009613,драфт (до игры),,Vici Gaming vs Team Spirit,Комбо-ставка,Team Spirit + Меньше 42.0,3.4,600,проигрыш,-600
95,2026-04-18 08:23 UTC,8776009613,5-я минута,,Vici Gaming vs Team Spirit,Победитель,Team Spirit,1.88,3000,выигрыш,2640
96,2026-04-18 08:32 UTC,8776019262,5-я минута,,Xtreme Gaming vs Natus Vincere,Тотал убийств,Больше 44.5,1.68,3000,выигрыш,2040
97,2026-04-18 08:38 UTC,8776019262,10-я минута,,Xtreme Gaming vs Natus Vincere,Победитель,Xtreme Gaming,1.55,3000,выигрыш,1650
98,2026-04-18 09:32 UTC,8776077999,драфт (до игры),,GamerLegion vs Team Liquid,Комбо-ставка,Team Liquid + Меньше 49.5,2.4,600,проигрыш,-600
99,2026-04-18 09:45 UTC,8776094912,драфт (до игры),,Team Spirit vs Vici Gaming,Комбо-ставка,Team Spirit + Меньше 42.0,4.8,600,выигрыш,2280
100,2026-04-18 09:52 UTC,8776094912,5-я минута,,Team Spirit vs Vici Gaming,Победитель,Team Spirit,1.32,3000,выигрыш,960
101,2026-04-18 10:50 UTC,8776157596,драфт (до игры),,Team Liquid vs GamerLegion,Комбо-ставка,Team Liquid + Меньше 50.5,3.2,600,проигрыш,-600
102,2026-04-18 10:56 UTC,8776157596,5-я минута,,Team Liquid vs GamerLegion,Победитель,Team Liquid,2.05,3000,проигрыш,-3000
103,2026-04-18 12:03 UTC,8776236178,драфт (до игры),,GamerLegion vs Team Liquid,Комбо-ставка,Team Liquid + Меньше 42.0,2.2,600,проигрыш,-600
104,2026-04-18 12:10 UTC,8776236178,5-я минута,,GamerLegion vs Team Liquid,Победитель,Team Liquid,1.55,3000,выигрыш,1650
105,2026-04-18 12:14 UTC,8776236178,10-я минута,,GamerLegion vs Team Liquid,Победитель,Team Liquid,1.55,3000,выигрыш,1650
106,2026-04-18 13:25 UTC,8776345901,драфт (до игры),,PARIVISION vs MOUZ,Комбо-ставка,PARIVISION + Меньше 50.5,3.1,600,выигрыш,1260
107,2026-04-18 13:47 UTC,8776380784,драфт (до игры),,BetBoom Team vs Virtus.pro,Комбо-ставка,BetBoom Team + Меньше 42.0,3.1,600,выигрыш,1260
108,2026-04-18 13:54 UTC,8776392436,5-я минута,,Ilbirs Esports vs Nemiga Gaming,Победитель,Nemiga Gaming,1.22,3000,выигрыш,660
109,2026-04-18 13:58 UTC,8776380784,10-я минута,,BetBoom Team vs Virtus.pro,Победитель,BetBoom Team,1.65,3000,выигрыш,1950
110,2026-04-18 14:19 UTC,8776432038,драфт (до игры),,PARIVISION vs MOUZ,Длительность матча,Больше 40 мин,2.3,3000,выигрыш,3900
111,2026-04-18 14:31 UTC,8776432038,10-я минута,,PARIVISION vs MOUZ,Тотал убийств,Больше 47.5,1.9,3000,выигрыш,2700
112,2026-04-18 15:44 UTC,8776543835,10-я минута,,Team Falcons vs Team Yandex,Победитель,Team Falcons,2.15,3000,выигрыш,3450
113,2026-04-18 15:59 UTC,8776583882,драфт (до игры),,HEROIC vs Tundra Esport,Комбо-ставка,Tundra Esports + Меньше 49.5,2.4,600,проигрыш,-600
114,2026-04-18 16:11 UTC,8776583882,10-я минута,,HEROIC vs Tundra Esport,Победитель,HEROIC,2,3000,выигрыш,3000
115,2026-04-18 17:02 UTC,8776679266,драфт (до игры),,Tundra Esports vs HEROIC,Комбо-ставка,Tundra Esports + Меньше 49.5,2.3,600,проигрыш,-600
116,2026-04-18 17:07 UTC,8776664516,10-я минута,,Team Yandex vs Team Falcon,Победитель,Team Falcons,1.22,3000,выигрыш,660
117,2026-04-18 18:49 UTC,8776815882,5-я минута,,Tundra Esports vs HEROIC,Победитель,Tundra Esports,1.22,3000,проигрыш,-3000
118,2026-04-18 19:20 UTC,8776882933,драфт (до игры),,Team Lynx vs Nemiga Gaming,Длительность матча,Больше 39 мин,2.3,3000,выигрыш,3900
119,2026-04-18 19:27 UTC,8776882933,5-я минута,,Team Lynx vs Nemiga Gaming,Победитель,Nemiga Gaming,2.25,3000,выигрыш,3750
120,2026-04-18 19:32 UTC,8776882933,10-я минута,,Team Lynx vs Nemiga Gaming,Победитель,Nemiga Gaming,1.42,3000,выигрыш,1260
121,2026-04-19 07:21 UTC,8777432261,5-я минута,,Xtreme Gaming vs Aurora Gaming,Тотал убийств,Больше 45.5,1.98,3000,проигрыш,-3000
122,2026-04-19 07:27 UTC,8777432261,10-я минута,,Xtreme Gaming vs Aurora Gaming,Тотал убийств,Больше 45.5,2.05,3000,проигрыш,-3000
123,2026-04-19 07:28 UTC,8777439091,10-я минута,,Vici Gaming vs Natus Vincere,Тотал убийств,Больше 37.5,2.05,3000,проигрыш,-3000
124,2026-04-19 08:33 UTC,8777495739,10-я минута,,Aurora Gaming vs Xtreme Gaming,Тотал убийств,Больше 40.5,1.78,3000,выигрыш,2340
125,2026-04-19 09:12 UTC,8777554612,драфт (до игры),,Team Lynx vs 1w Team,Комбо-ставка,1w Team + Меньше 42.0,2.8,600,проигрыш,-600
126,2026-04-19 09:13 UTC,8777543866,5-я минута,,MODUS vs Ivory,Победитель,Ivory,1.9,3000,выигрыш,2700
127,2026-04-19 09:19 UTC,8777554612,5-я минута,,Team Lynx vs 1w Team,Победитель,1w Team,1.9,3000,проигрыш,-3000
128,2026-04-19 09:26 UTC,8777560892,5-я минута,,Xtreme Gaming vs Aurora Gaming,Победитель,Aurora Gaming,1.68,3000,выигрыш,2040
129,2026-04-19 09:31 UTC,8777560892,10-я минута,,Xtreme Gaming vs Aurora Gaming,Победитель,Aurora Gaming,2.5,3000,выигрыш,4500
130,2026-04-19 09:35 UTC,8777570720,5-я минута,,Vici Gaming vs Natus Vincere,Тотал убийств,Больше 42.5,1.8,3000,проигрыш,-3000
131,2026-04-19 09:39 UTC,8777570720,10-я минута,,Vici Gaming vs Natus Vincere,Победитель,Natus Vincere,1.85,3000,проигрыш,-3000
132,2026-04-19 09:39 UTC,8777570720,10-я минута,,Vici Gaming vs Natus Vincere,Тотал убийств,Больше 39.5,2,3000,проигрыш,-3000
133,2026-04-19 10:15 UTC,8777628944,драфт (до игры),,MODUS vs Ivory,Длительность матча,Больше 38 мин,2.3,3000,проигрыш,-3000
134,2026-04-19 10:36 UTC,8777630244,10-я минута,,Team Liquid vs BetBoom Team,Победитель,Team Liquid,1.8,3000,проигрыш,-3000
135,2026-04-19 10:42 UTC,8777652578,драфт (до игры),,GamerLegion vs MOUZ,Комбо-ставка,MOUZ + Меньше 49.5,3.2,600,проигрыш,-600
136,2026-04-19 11:14 UTC,8777683026,5-я минута,,MODUS vs Ivory,Тотал убийств,Больше 49.5,1.9,3000,выигрыш,2700
137,2026-04-19 11:19 UTC,8777683026,10-я минута,,MODUS vs Ivory,Тотал убийств,Больше 44.5,2,3000,выигрыш,3000
138,2026-04-19 11:31 UTC,8777714725,драфт (до игры),,BetBoom Team vs Team Liquid,Комбо-ставка,Team Liquid + Меньше 51.5,4,600,проигрыш,-600
139,2026-04-19 11:37 UTC,8777714725,5-я минута,,BetBoom Team vs Team Liquid,Победитель,Team Liquid,2,3000,проигрыш,-3000
140,2026-04-19 11:41 UTC,8777714725,10-я минута,,BetBoom Team vs Team Liquid,Победитель,Team Liquid,2.4,3000,проигрыш,-3000
141,2026-04-19 12:28 UTC,8777777604,5-я минута,,Team Lynx vs 1w Team,Победитель,1w Team,3.4,3000,выигрыш,7200
142,2026-04-19 12:33 UTC,8777777604,10-я минута,,Team Lynx vs 1w Team,Победитель,1w Team,4.2,3000,выигрыш,9600
143,2026-04-19 12:33 UTC,8777777604,10-я минута,,Team Lynx vs 1w Team,Тотал убийств,Больше 41.5,1.8,3000,выигрыш,2400
144,2026-04-19 12:46 UTC,8777800049,5-я минута,,Team Spirit vs Team Falcon,Победитель,Team Falcons,1.78,3000,проигрыш,-3000
145,2026-04-19 13:21 UTC,8777861135,10-я минута,,Nigma Galaxy vs Nemiga Gaming,Тотал убийств,Больше 53.5,1.98,3000,проигрыш,-3000
146,2026-04-19 15:02 UTC,8778048389,драфт (до игры),,Ivory vs 1w Team,Длительность матча,Больше 34 мин,2.35,3000,проигрыш,-3000
147,2026-04-19 15:12 UTC,8778045350,драфт (до игры),,Team Falcons vs Team Spirit,Комбо-ставка,Team Falcons + Меньше 49.5,3.1,600,проигрыш,-600
148,2026-04-19 15:23 UTC,8778045350,10-я минута,,Team Falcons vs Team Spirit,Победитель,Team Falcons,1.4,3000,выигрыш,1200
149,2026-04-19 15:34 UTC,8778074211,5-я минута,,Tundra Esports vs Virtus.pro,Победитель,Virtus.pro,2.15,3000,выигрыш,3450
150,2026-04-19 16:34 UTC,8778168822,5-я минута,,Virtus.pro vs Tundra Esport,Победитель,Tundra Esports,1.45,3000,выигрыш,1350
151,2026-04-19 17:32 UTC,8778254726,драфт (до игры),,PARIVISION vs HEROIC,Длительность матча,Больше 40 мин,2.3,3000,проигрыш,-3000
152,2026-04-19 17:32 UTC,8778254726,драфт (до игры),,PARIVISION vs HEROIC,Комбо-ставка,PARIVISION + Меньше 49.5,2.8,600,выигрыш,1080
